Date,IBOV,Carteira,Markowitz,Selic
2025-02-07,103741.10301768992,102459.04181042055,103968.29654720849,101261.11359240886
2025-02-10,104534.44328824143,103294.36814033952,104325.32360920004,101310.76900468116
2025-02-11,105325.28616024974,105036.07623477455,105916.23376307839,101360.448766478
2025-02-12,103542.14360041622,102344.08429969166,103923.62759517969,101410.15288973962
2025-02-13,103933.40270551508,102508.7218147482,104075.9829554302,101459.88138641218
2025-02-14,106737.9812695109,105026.2568070722,105717.86407072825,101509.63426844764
2025-02-17,107279.0842872008,105649.72142321937,105882.2960367503,101559.41154780386
2025-02-18,106998.54318418312,105402.4853802166,106173.60157831351,101609.21323644456
2025-02-19,105980.43704474502,104144.35715279818,105502.7811967717,101659.03934633933
2025-02-20,106223.51716961493,104177.48024825394,105244.36789212615,101708.88988946361
2025-02-21,105829.76066597289,101414.24474824738,105225.52528160319,101758.76487779872
2025-02-24,104392.09157127986,99776.3090567378,104266.38834116855,101808.66432333185
2025-02-25,104874.0894901144,100142.47564572407,105006.26462971358,101858.5882380561
2025-02-26,103865.97294484905,98705.75994157392,103564.11449716012,101908.53663397039
2025-02-27,103890.94693028089,99609.44015112691,103489.43080296507,101958.50952307961
2025-02-28,102226.01456815809,99148.9092186861,102501.65119768742,102008.50691739445
2025-03-05,102432.46618106132,98804.18378394784,102171.38353752588,102058.52882893154
2025-03-06,102691.36316337142,99297.88374025741,102047.62709289095,102108.5752697134
2025-03-07,104087.40894901135,100576.05290405013,102825.82277197532,102158.6462517684
2025-03-10,103657.85639958369,99912.41342107794,102347.76282877228,102208.74178713089
2025-03-11,102815.40062434957,98596.89763374286,101189.98224277113,102258.86188784106
2025-03-12,103112.59105098849,99062.69025787164,101386.6211700286,102309.00656594502
2025-03-13,104588.55359001034,99447.79553364814,102367.95248029982,102359.17583349477
2025-03-14,107352.34131113418,101998.06180215874,104216.32163743737,102409.36970254824
2025-03-17,108914.88033298642,104080.86167766798,106125.94013404535,102459.5881851693
2025-03-18,109448.49115504678,104225.83349545237,106696.68450112693,102509.83129342766
2025-03-19,110308.42872008319,104926.59156401253,107290.47356238477,102560.09903939902
