Date,IBOV,Carteira,Markowitz,Selic
2025-04-22,108606.8678459937,117287.95459204505,107963.23352746246,103751.92824693465
2025-04-23,110065.34859521325,118669.51882029045,109078.37524992583,103806.43017236204
2025-04-24,112033.29864724237,121525.8255060762,110571.75606277521,103860.96072819589
2025-04-25,112165.66077003111,121772.1373962503,110679.10595237596,103915.51992947601
2025-04-28,112396.25390218511,122384.05050432878,111379.16021430439,103970.10779125015
2025-04-29,112460.35379812682,122136.64692772349,111622.03550808896,104024.72432857397
2025-04-30,112438.70967741922,123414.58746896824,111509.26153400764,104079.36955651101
2025-05-02,112494.48491155035,123086.58454128014,110698.05139271225,104134.04349013274
2025-05-05,111126.74297606647,122040.42751918608,111498.88141890887,104188.74614451855
2025-05-06,111147.554630593,122345.22625601976,111734.71819518186,104243.47753475572
2025-05-07,111049.32362122777,121248.19540653072,111317.80529830688,104298.23767593948
2025-05-08,113408.53277835576,126276.2872216367,112961.69732040176,104354.83615759671
2025-05-09,113641.62330905296,126194.55750325992,113111.89641510547,104411.465352986
2025-05-12,113684.0790842871,126479.66756916462,113292.75286004879,104468.12527877445
2025-05-13,115681.99791883444,129160.80193081309,114394.61503601058,104524.81595163823
2025-05-14,115232.46618106129,129390.74696624694,115465.17907012592,104581.53738826254
2025-05-15,115990.84287200823,131567.1365656027,117043.3665458007,104638.28960534168
2025-05-16,115868.47034339221,132110.0512129768,117571.75873415302,104695.07261957892
2025-05-19,116242.24765868878,134499.52431492205,118220.85840207827,104751.88644768664
2025-05-20,116636.8366285119,135143.77221980944,118930.27883717333,104808.73110638636
2025-05-21,114781.26951092604,131960.93621923323,117328.76785595814,104865.60661240856
2025-05-22,114275.13007284071,132308.03158910494,118346.9827158621,104922.51298249284
2025-05-23,114733.81893860553,133067.26818809283,119058.91412950418,104979.45023338792
2025-05-26,114993.54838709667,134047.99079183626,120839.32926117079,105036.41838185159
2025-05-27,116163.16337148793,136536.5738891419,122437.88852734241,105093.41744465068
2025-05-28,115619.56295525483,136373.44263180124,122388.4625495458,105150.44743856118
2025-05-29,115324.86992715912,136213.45058483118,122111.67634821976,105207.5083803682
2025-05-30,114070.34339229958,135827.520981763,121813.32646631789,105264.60028686591
